DNA	Fitness Score	Fitness Rank	Sign
cg00992348	4.3148125178442705e-22	653	+
cg07109745	4.3148125178442705e-22	654	+
cg08221781	4.3148125178442705e-22	655	+
cg05177729	4.3148125178442705e-22	656	+
cg02568716	4.3148125178442705e-22	657	+
cg03131767	4.3148125178442705e-22	658	+
cg03394422	4.3148125178442705e-22	659	+
cg02947498	4.3148125178442705e-22	660	+
cg08096702	4.3148125178442705e-22	661	+
cg05415308	4.3148125178442705e-22	662	+
cg01713348	4.3148125178442705e-22	663	+
cg02558476	4.3148125178442705e-22	664	+
cg05055712	4.3148125178442705e-22	665	+
cg03998598	4.3148125178442705e-22	666	+
cg01325188	4.3148125178442705e-22	667	+
cg02172028	4.3148125178442705e-22	668	+
cg07114544	4.3148125178442705e-22	669	+
cg02880679	4.3148125178442705e-22	670	+
cg07633702	4.3148125178442705e-22	671	+
cg04556210	4.3148125178442705e-22	672	+
cg00545462	4.3148125178442705e-22	673	+
cg01988541	4.3148125178442705e-22	674	+
cg02831668	4.3148125178442705e-22	675	+
cg08532870	4.3148125178442705e-22	676	+
cg11987090	4.3148125178442705e-22	677	+
cg10226297	4.3148125178442705e-22	678	+
cg17283506	4.3148125178442705e-22	679	+
cg11819639	4.3148125178442705e-22	680	+
cg12073565	4.3148125178442705e-22	681	+
cg09675653	4.3148125178442705e-22	682	+
cg17678946	4.3148125178442705e-22	683	+
cg13451953	4.3148125178442705e-22	684	+
cg11285937	4.3148125178442705e-22	685	+
cg17584576	4.3148125178442705e-22	686	+
cg17077776	4.3148125178442705e-22	687	+
cg11892243	4.3148125178442705e-22	688	+
cg12063847	4.3148125178442705e-22	689	+
cg08908148	4.3148125178442705e-22	690	+
cg10567419	4.3148125178442705e-22	691	+
cg11180199	4.3148125178442705e-22	692	+
cg16774604	4.3148125178442705e-22	693	+
cg11661523	4.3148125178442705e-22	694	+
cg10323240	4.3148125178442705e-22	695	+
cg17074000	4.3148125178442705e-22	696	+
cg13518530	4.3148125178442705e-22	697	+
cg20580088	4.3148125178442705e-22	698	+
cg18174678	4.3148125178442705e-22	699	+
cg25112191	4.3148125178442705e-22	700	+
cg27515243	4.3148125178442705e-22	701	+
cg19756097	4.3148125178442705e-22	702	+
cg27533700	4.3148125178442705e-22	703	+
cg24784794	4.3148125178442705e-22	704	+
cg26900616	4.3148125178442705e-22	705	+
cg20535044	4.3148125178442705e-22	706	+
cg25581330	4.3148125178442705e-22	707	+
cg20803232	4.3148125178442705e-22	708	+
cg19897251	4.3148125178442705e-22	709	+
cg26572856	4.3148125178442705e-22	710	+
cg20074699	4.3148125178442705e-22	711	+
cg20889476	4.3148125178442705e-22	712	+
cg19561609	4.3148125178442705e-22	713	+
cg18439323	4.3148125178442705e-22	714	+
cg27168900	4.3148125178442705e-22	715	+
cg18664900	4.3148125178442705e-22	716	+
cg22512377	4.3148125178442705e-22	717	+
cg22275306	0.9204664009836998	1	-
cg03633268	0.07943932745631987	2	-
cg17391830	6.053404914913308e-05	3	-
cg03228065	3.0304882222507592e-05	4	-
cg27647589	3.4287374141379544e-06	5	-
cg02385230	2.5252914998862736e-09	6	-
cg03190578	5.230389947673712e-10	7	-
cg03387103	4.795784109629548e-10	8	-
cg11938491	1.042903281567392e-10	9	-
cg14843902	7.457372698477029e-11	10	-
cg19749688	7.457372698477029e-11	11	-
cg25636441	7.457372698477029e-11	12	-
cg09823679	3.421601575309744e-11	13	-
cg18322772	2.2558850594799693e-13	14	-
cg09757400	1.842252098893464e-13	15	-
cg20078972	1.5669161719629138e-13	16	-
cg10233455	1.1293512007328258e-13	17	-
cg17941743	1.1265338823613462e-13	18	-
cg04692506	7.682444088778535e-14	19	-
cg16013349	7.678748485685928e-14	20	-
cg02212575	2.9411049206125207e-14	21	-
cg06974428	2.7855170154637235e-14	22	-
cg09859794	1.927558798316741e-14	23	-
cg08695707	1.9242270560206824e-14	24	-
cg02711212	1.9154144434175573e-15	25	-
cg05327192	1.588900673822586e-15	26	-
cg00992348	1.5045015782359506e-15	27	-
cg19756097	1.4778422277945448e-15	28	-
cg25338818	4.4106123389650344e-16	29	-
cg12535596	4.4092193177965075e-16	30	-
cg12048310	4.4092193177965075e-16	31	-
cg12094965	4.4092193177965075e-16	32	-
cg11176186	4.4092193177965075e-16	33	-
cg23280778	4.4092193177965075e-16	34	-
cg23093590	4.4092193177965075e-16	35	-
cg22442557	4.4092193177965075e-16	36	-
cg26272214	3.967683158898392e-16	37	-
cg21944557	3.962593470496117e-16	38	-
cg25460935	3.9625184583557226e-16	39	-
cg18166347	3.876465437148321e-16	40	-
cg06099014	3.4888322039739516e-16	41	-
cg02643667	3.4888322039739516e-16	42	-
cg01815912	3.461805667477258e-16	43	-
cg05855983	3.3729243466189635e-16	44	-
cg03998598	3.3260405723628906e-16	45	-
cg02880679	3.267613809849285e-16	46	-
cg12793502	2.6357513090505344e-16	47	-
cg02104952	2.2523963712031583e-16	48	-
cg04920032	2.2390273975311696e-16	49	-
cg18263686	2.1352344045344328e-16	50	-
cg27515243	1.939888762634904e-16	51	-
cg22107986	1.736906456834829e-16	52	-
cg03635073	1.6725815990861672e-16	53	-
cg00067884	1.6540532725852819e-16	54	-
cg16487101	1.4710251303930602e-16	55	-
cg24546153	1.3419205205052795e-16	56	-
cg12301620	8.388503788115232e-17	57	-
cg02512867	7.971502481710033e-17	58	-
cg18174678	7.780456601851908e-17	59	-
cg02389084	6.542758633246938e-17	60	-
cg27121959	5.73804146126992e-17	61	-
cg10559432	5.707872570088269e-17	62	-
cg16773127	5.4472982916005e-17	63	-
cg17140469	4.194008892965e-17	64	-
cg12020983	3.34317162016144e-17	65	-
cg09664492	3.3327285594870425e-17	66	-
cg17060195	3.3327285594870425e-17	67	-
cg02464901	3.112761401452493e-17	68	-
cg07080231	2.9640991993354194e-17	69	-
cg05041265	2.5283554754560165e-17	70	-
cg19321739	2.206306717799388e-17	71	-
cg10059756	1.4316524932066363e-17	72	-
cg25385272	1.4316524932066363e-17	73	-
cg11187360	1.4014836020249842e-17	74	-
cg00673191	1.1103700025835104e-17	75	-
cg22512377	1.1103700025835104e-17	76	-
cg27124109	1.0938215060734777e-17	77	-
cg21240762	9.518294840470248e-18	78	-
cg13249789	8.717233941523533e-18	79	-
cg25680916	8.717233941523533e-18	80	-
cg18011946	8.717233941523533e-18	81	-
cg23784313	8.717233941523533e-18	82	-
cg09276158	8.142377241290832e-18	83	-
cg00542261	8.086583319177968e-18	84	-
cg02477603	7.787297119853419e-18	85	-
cg11987090	7.67543834910458e-18	86	-
cg06827850	7.599410970744821e-18	87	-
cg11285937	6.500582390612464e-18	88	-
cg08836861	6.090287641316673e-18	89	-
cg15043801	6.090287641316673e-18	90	-
cg05322837	5.722543789334392e-18	91	-
cg03055271	5.695695732187041e-18	92	-
cg04272613	5.637602381645988e-18	93	-
cg17077776	5.3893490410569255e-18	94	-
cg17678946	5.146240264715963e-18	95	-
cg00157012	4.7710546216981895e-18	96	-
cg01990593	4.696570230163511e-18	97	-
cg16204710	4.468263573119524e-18	98	-
cg18328477	3.6603059634429914e-18	99	-
cg04806409	3.198079630954675e-18	100	-
cg00653615	3.111202800346284e-18	101	-
cg01099300	3.0668499550860017e-18	102	-
cg05919105	2.8831128653316142e-18	103	-
cg04280772	2.65660659303766e-18	104	-
cg12063847	2.5616572815296053e-18	105	-
cg01962821	2.503375371296936e-18	106	-
cg03170036	2.2463118437418696e-18	107	-
cg02965283	2.2233499350785646e-18	108	-
cg12351126	2.181919787494926e-18	109	-
cg06550986	2.0667395220481276e-18	110	-
cg05539265	1.9692143641760773e-18	111	-
cg04469998	1.8914431231406234e-18	112	-
cg07633702	1.85918023245949e-18	113	-
cg09366861	1.763069328810078e-18	114	-
cg10530644	1.5453660601410802e-18	115	-
cg16085568	1.5453660601410802e-18	116	-
cg11806389	1.5453660601410802e-18	117	-
cg27125439	1.5453660601410802e-18	118	-
cg02145220	1.5050812509162403e-18	119	-
cg11888757	1.406063943288324e-18	120	-
cg15487282	1.2888363234313672e-18	121	-
cg26682499	1.1043750314718037e-18	122	-
cg09458940	1.0714558852497524e-18	123	-
cg04547002	1.0073183065797515e-18	124	-
cg02568716	1.0073183065797515e-18	125	-
cg20074699	9.793019872321765e-19	126	-
cg05089968	9.402262093810789e-19	127	-
cg01325188	9.15224144383991e-19	128	-
cg02661728	8.760886307110776e-19	129	-
cg01643712	8.736872815628058e-19	130	-
cg05977696	8.507078935493143e-19	131	-
cg25479788	8.148592293771769e-19	132	-
cg04366880	7.528040635125887e-19	133	-
cg11748936	7.009386002597456e-19	134	-
cg07139503	6.190251031560126e-19	135	-
cg08472978	6.190251031560126e-19	136	-
cg13518530	6.190251031560126e-19	137	-
cg18664900	5.240911838254896e-19	138	-
cg11223711	4.409910286692764e-19	139	-
cg20552688	4.409910286692764e-19	140	-
cg26621046	4.409910286692764e-19	141	-
cg26988016	4.409910286692764e-19	142	-
cg03394422	4.208778273043917e-19	143	-
cg07945618	4.0549442684717616e-19	144	-
cg05499499	3.705172849900065e-19	145	-
cg03995434	3.705172849900065e-19	146	-
cg00025347	3.705172849900065e-19	147	-
cg17514226	3.705172849900065e-19	148	-
cg24339704	3.705172849900065e-19	149	-
cg23893379	3.6248818310525415e-19	150	-
cg06251348	3.060010341553301e-19	151	-
cg07840332	3.060010341553301e-19	152	-
cg15660466	3.0168891181652045e-19	153	-
cg18081489	3.0168891181652045e-19	154	-
cg01882535	2.784231227942467e-19	155	-
cg09209002	2.779847148077554e-19	156	-
cg04270264	2.4761138995619284e-19	157	-
cg06428196	2.1390687195957045e-19	158	-
cg25112191	2.0702471844020035e-19	159	-
cg11180199	1.747713582866572e-19	160	-
cg07056138	1.4719344692557395e-19	161	-
cg21562889	1.4395962544860323e-19	162	-
cg14377982	1.3930211685275584e-19	163	-
cg09251111	1.3930211685275584e-19	164	-
cg23244997	1.3930211685275584e-19	165	-
cg25399309	1.3930211685275584e-19	166	-
cg24865623	1.3930211685275584e-19	167	-
cg04240491	1.163817140875198e-19	168	-
cg02943050	1.163817140875198e-19	169	-
cg18439323	1.163817140875198e-19	170	-
cg16226627	1.0679202699017341e-19	171	-
cg11694119	1.044306067439728e-19	172	-
cg25979244	1.044306067439728e-19	173	-
cg24183909	1.044306067439728e-19	174	-
cg17873919	1.044306067439728e-19	175	-
cg22761619	1.044306067439728e-19	176	-
cg22192301	1.044306067439728e-19	177	-
cg23312397	1.044306067439728e-19	178	-
cg02947498	1.0312672388674144e-19	179	-
cg24797840	9.532798367273047e-20	180	-
cg24594295	9.209416219575983e-20	181	-
cg20889476	7.77712410354548e-20	182	-
cg01693305	6.942220589011902e-20	183	-
cg07114544	5.1865463252843337e-20	184	-
cg12451007	5.1865463252843337e-20	185	-
cg18623708	5.1865463252843337e-20	186	-
cg03407631	4.406672303883246e-20	187	-
cg05876824	4.406672303883246e-20	188	-
cg04556210	4.406672303883246e-20	189	-
cg11819639	4.406672303883246e-20	190	-
cg17584576	4.406672303883246e-20	191	-
cg05165087	3.861047305206495e-20	192	-
cg07109745	3.861047305206495e-20	193	-
cg08266168	3.861047305206495e-20	194	-
cg01713348	3.861047305206495e-20	195	-
cg13990013	3.861047305206495e-20	196	-
cg11661523	3.7459653319884196e-20	197	-
cg22830707	3.0811732838054075e-20	198	-
cg06458904	2.384914390526839e-20	199	-
cg15733055	2.384914390526839e-20	200	-
cg11807153	1.990291068260852e-20	201	-
cg18004175	1.7201223423438275e-20	202	-
cg02804240	1.565633934905017e-20	203	-
cg03259292	1.3254990200778406e-20	204	-
cg02172028	1.3254990200778406e-20	205	-
cg01727105	1.0594153704489989e-20	206	-
cg03931518	1.0594153704489989e-20	207	-
cg06647928	1.0594153704489989e-20	208	-
cg06743037	1.0594153704489989e-20	209	-
cg08096702	1.0594153704489989e-20	210	-
cg09675653	1.0594153704489989e-20	211	-
cg15884721	1.0594153704489989e-20	212	-
cg08908148	1.0594153704489989e-20	213	-
cg08858370	1.0594153704489989e-20	214	-
cg09644451	1.0594153704489989e-20	215	-
cg09116658	9.862634285546426e-21	216	-
cg16516270	9.862634285546426e-21	217	-
cg11809702	9.862634285546426e-21	218	-
cg12445461	9.862634285546426e-21	219	-
cg10021803	9.862634285546426e-21	220	-
cg10072351	9.862634285546426e-21	221	-
cg18227129	9.862634285546426e-21	222	-
cg25107608	9.862634285546426e-21	223	-
cg26119331	9.862634285546426e-21	224	-
cg26362263	9.862634285546426e-21	225	-
cg18176887	9.862634285546426e-21	226	-
cg20548111	9.862634285546426e-21	227	-
cg25038082	9.862634285546426e-21	228	-
cg26551326	9.862634285546426e-21	229	-
cg20631750	9.862634285546426e-21	230	-
cg07911953	8.192804556218231e-21	231	-
cg04640834	8.192804556218231e-21	232	-
cg13578020	8.192804556218231e-21	233	-
cg09676630	8.192804556218231e-21	234	-
cg01498468	7.501214039345789e-21	235	-
cg09437522	7.501214039345789e-21	236	-
cg19021080	7.501214039345789e-21	237	-
cg23079808	7.501214039345789e-21	238	-
cg25653011	7.501214039345789e-21	239	-
cg23059550	7.501214039345789e-21	240	-
cg03987648	6.6479204818301195e-21	241	-
cg27533700	6.6479204818301195e-21	242	-
cg04821009	6.347582370931628e-21	243	-
cg07413467	6.347582370931628e-21	244	-
cg06688763	6.347582370931628e-21	245	-
cg15543523	6.347582370931628e-21	246	-
cg24784794	6.347582370931628e-21	247	-
cg06119575	4.24657133355836e-21	248	-
cg03131767	4.24657133355836e-21	249	-
cg26619931	4.24657133355836e-21	250	-
cg22379207	4.24657133355836e-21	251	-
cg07754940	3.946233222659868e-21	252	-
cg17278115	3.946233222659868e-21	253	-
cg16774604	3.946233222659868e-21	254	-
cg04216240	2.4013491482717567e-21	255	-
cg05177729	2.4013491482717567e-21	256	-
cg13421038	2.4013491482717567e-21	257	-
cg10687823	2.4013491482717567e-21	258	-
cg23705119	2.4013491482717567e-21	259	-
cg25581330	2.4013491482717567e-21	260	-
cg21962918	2.4013491482717567e-21	261	-
cg20109393	2.4013491482717567e-21	262	-
cg18130076	2.4013491482717567e-21	263	-
cg22877623	2.4013491482717567e-21	264	-
cg15391651	2.3614202462006386e-21	265	-
cg10617287	2.3614202462006386e-21	266	-
cg09791812	2.3614202462006386e-21	267	-
cg11906718	2.3614202462006386e-21	268	-
cg11608447	2.3614202462006386e-21	269	-
cg10777103	2.3614202462006386e-21	270	-
cg16260343	2.3614202462006386e-21	271	-
cg10902825	2.3614202462006386e-21	272	-
cg16550282	2.3614202462006386e-21	273	-
cg09548950	2.3614202462006386e-21	274	-
cg26550787	2.3614202462006386e-21	275	-
cg24775832	2.3614202462006386e-21	276	-
cg23859078	2.3614202462006386e-21	277	-
cg24845324	2.3614202462006386e-21	278	-
cg24317002	2.3614202462006386e-21	279	-
cg26833538	2.3614202462006386e-21	280	-
cg22356484	2.3614202462006386e-21	281	-
cg18006085	2.3614202462006386e-21	282	-
cg25316898	2.3614202462006386e-21	283	-
cg25296982	2.3614202462006386e-21	284	-
